ticket_id,created_at,channel,customer_id,language,subject,body,product,priority
T000104,2025-12-13T04:13:00,call_center,CU00795,en,Complaint,How to use this product and is it safe for sensitive skin?,foundation,normal
T000105,2025-12-21T15:26:00,call_center,CU00259,en,Order problem,Promo code not working.,gift_box,high
T000106,2025-11-23T12:53:00,email,CU00932,ar,Request,I want to refund my last order.,foundation,high
T000107,2025-12-01T07:05:00,webform,CU01008,ar,Complaint,Promo code not working.,gift_box,normal
T000108,2025-11-16T23:55:00,call_center,CU00912,ar,Need help,I want to refund my last order.,perfume,normal
T000109,2025-11-17T17:25:00,email,CU00931,en,Complaint,How to use this product and is it safe for sensitive skin?,foundation,high
T000110,2025-12-24T12:39:00,email,CU01173,ar,Question,"I received damaged product, what can I do?",shampoo,high
T000111,2025-12-23T15:04:00,webform,CU00429,ar,Request,"I received damaged product, what can I do?",foundation,high
T000112,2025-12-26T04:22:00,call_center,CU00854,ar,Question,Promo code not working.,perfume,high
T000113,2025-11-30T02:30:00,call_center,CU00927,ar,Complaint,I want to refund my last order.,serum,normal
T000114,2025-11-28T02:53:00,call_center,CU00680,en,Order problem,Order delayed and I need update.,foundation,high
T000115,2025-11-06T14:05:00,email,CU00492,ar,Order problem,Order delayed and I need update.,gift_box,normal
T000116,2025-12-15T02:48:00,webform,CU01151,ar,Complaint,Order delayed and I need update.,gift_box,high
T000117,2025-12-23T18:43:00,webform,CU01172,ar,Complaint,"I received damaged product, what can I do?",foundation,low
T000118,2025-11-17T19:04:00,whatsapp,CU00332,ar,Need help,"I received damaged product, what can I do?",serum,high
T000119,2025-12-05T08:55:00,whatsapp,CU00826,en,Complaint,I want to refund my last order.,foundation,low
T000120,2025-11-16T07:11:00,email,CU00056,en,Need help,Promo code not working.,foundation,low
T000121,2025-11-24T12:45:00,email,CU00609,en,Question,Order delayed and I need update.,perfume,low
T000122,2025-11-10T08:54:00,email,CU00788,en,Question,I want to refund my last order.,serum,normal
T000123,2025-12-12T03:41:00,whatsapp,CU00490,en,Need help,I want to refund my last order.,shampoo,normal
T000124,2025-11-14T09:29:00,email,CU00182,ar,Question,Promo code not working.,foundation,low
T000125,2025-11-01T21:41:00,whatsapp,CU00605,en,Complaint,I want to refund my last order.,shampoo,normal
T000126,2025-11-27T14:40:00,whatsapp,CU00056,en,Complaint,Promo code not working.,foundation,low
T000127,2025-11-26T18:31:00,whatsapp,CU00523,ar,Order problem,How to use this product and is it safe for sensitive skin?,lipstick,normal
T000128,2025-12-17T11:20:00,call_center,CU00547,en,Request,Promo code not working.,gift_box,normal
T000129,2025-12-07T08:14:00,email,CU01076,ar,Complaint,Order delayed and I need update.,serum,normal
T000130,2025-12-27T13:27:00,email,CU00676,en,Need help,Order delayed and I need update.,shampoo,low
T000131,2025-12-16T13:02:00,whatsapp,CU00409,en,Question,Promo code not working.,serum,normal
T000132,2025-12-10T13:45:00,call_center,CU00683,en,Request,How to use this product and is it safe for sensitive skin?,lipstick,low
T000133,2025-11-16T08:45:00,webform,CU00674,ar,Complaint,How to use this product and is it safe for sensitive skin?,lipstick,normal
T000134,2025-12-10T00:23:00,whatsapp,CU00573,ar,Question,Order delayed and I need update.,perfume,high
T000135,2025-11-17T09:53:00,whatsapp,CU00198,en,Need help,How to use this product and is it safe for sensitive skin?,perfume,high
T000136,2025-11-22T07:11:00,whatsapp,CU01069,ar,Need help,I want to refund my last order.,gift_box,normal
T000137,2025-11-02T22:45:00,email,CU00907,ar,Complaint,"I received damaged product, what can I do?",shampoo,high
T000138,2025-11-03T07:46:00,call_center,CU00426,en,Complaint,I want to refund my last order.,serum,high
T000139,2025-11-10T03:58:00,email,CU00412,ar,Need help,Order delayed and I need update.,lipstick,low
T000140,2025-11-20T07:40:00,webform,CU00291,ar,Question,How to use this product and is it safe for sensitive skin?,foundation,normal
T000141,2025-12-12T17:54:00,whatsapp,CU00810,ar,Order problem,Promo code not working.,gift_box,low
T000142,2025-12-03T23:51:00,whatsapp,CU00885,en,Need help,"I received damaged product, what can I do?",foundation,low
T000143,2025-12-30T08:53:00,webform,CU01116,ar,Need help,Promo code not working.,serum,low
T000144,2025-11-07T16:34:00,call_center,CU00066,ar,Need help,Order delayed and I need update.,serum,normal
T000145,2025-11-17T01:39:00,webform,CU00877,ar,Complaint,How to use this product and is it safe for sensitive skin?,foundation,high
T000146,2025-12-17T20:46:00,webform,CU00588,en,Order problem,Promo code not working.,shampoo,normal
T000147,2025-11-04T11:25:00,webform,CU00496,ar,Complaint,Promo code not working.,shampoo,high
T000148,2025-12-25T08:06:00,whatsapp,CU00646,en,Need help,"I received damaged product, what can I do?",lipstick,high
T000149,2025-11-19T08:17:00,email,CU01138,ar,Question,"I received damaged product, what can I do?",lipstick,normal
T000150,2025-11-24T13:27:00,webform,CU00297,en,Complaint,How to use this product and is it safe for sensitive skin?,shampoo,high
T000151,2025-11-02T03:46:00,call_center,CU00101,en,Complaint,"I received damaged product, what can I do?",gift_box,high
T000152,2025-12-15T08:05:00,call_center,CU00279,ar,Complaint,Promo code not working.,lipstick,normal
T000153,2025-11-16T00:02:00,whatsapp,CU00076,ar,Request,Promo code not working.,serum,low
T000154,2025-11-28T01:35:00,whatsapp,CU00488,en,Need help,Order delayed and I need update.,shampoo,high
T000155,2025-11-18T20:54:00,call_center,CU00074,ar,Question,Promo code not working.,gift_box,normal
T000156,2025-12-18T02:59:00,whatsapp,CU00071,en,Request,How to use this product and is it safe for sensitive skin?,lipstick,normal
T000157,2025-11-12T10:54:00,webform,CU01193,ar,Request,I want to refund my last order.,lipstick,high
T000158,2025-12-22T15:39:00,call_center,CU00377,ar,Order problem,Order delayed and I need update.,serum,normal
T000159,2025-11-18T00:43:00,email,CU00810,en,Need help,Order delayed and I need update.,shampoo,normal
T000160,2025-11-21T08:08:00,webform,CU01022,en,Complaint,How to use this product and is it safe for sensitive skin?,serum,high
T000161,2025-11-12T10:21:00,webform,CU00832,ar,Need help,How to use this product and is it safe for sensitive skin?,perfume,normal
T000162,2025-12-25T20:12:00,webform,CU00169,ar,Request,"I received damaged product, what can I do?",perfume,low
T000163,2025-12-15T08:52:00,email,CU00963,ar,Request,Order delayed and I need update.,shampoo,normal
T000164,2025-11-06T06:45:00,webform,CU00686,ar,Question,"I received damaged product, what can I do?",foundation,normal
T000165,2025-11-30T10:53:00,email,CU00712,ar,Need help,Promo code not working.,lipstick,high
T000166,2025-12-15T06:17:00,call_center,CU00639,en,Order problem,Order delayed and I need update.,foundation,normal
T000167,2025-12-06T13:02:00,call_center,CU01021,ar,Request,Order delayed and I need update.,foundation,low
T000168,2025-11-28T22:05:00,webform,CU00911,en,Complaint,I want to refund my last order.,perfume,low
T000169,2025-11-19T23:35:00,call_center,CU00775,ar,Need help,Order delayed and I need update.,lipstick,low
T000170,2025-12-01T11:17:00,whatsapp,CU00524,en,Question,Promo code not working.,shampoo,high
T000171,2025-12-07T13:45:00,email,CU01089,ar,Need help,"I received damaged product, what can I do?",shampoo,high
T000172,2025-11-19T03:16:00,whatsapp,CU01075,en,Complaint,"I received damaged product, what can I do?",shampoo,normal
T000173,2025-11-24T15:26:00,webform,CU00737,ar,Need help,I want to refund my last order.,perfume,normal
T000174,2025-12-19T08:38:00,call_center,CU00509,ar,Request,Promo code not working.,serum,high
T000175,2025-11-19T05:41:00,call_center,CU00373,en,Need help,"I received damaged product, what can I do?",gift_box,high
T000176,2025-12-15T22:58:00,webform,CU01172,ar,Need help,How to use this product and is it safe for sensitive skin?,foundation,high
T000177,2025-12-06T17:48:00,call_center,CU01136,ar,Request,Promo code not working.,lipstick,high
T000178,2025-11-04T21:40:00,call_center,CU00256,en,Request,Promo code not working.,gift_box,normal
T000179,2025-12-11T04:48:00,webform,CU00555,en,Request,I want to refund my last order.,foundation,high
T000180,2025-12-11T14:47:00,whatsapp,CU01077,en,Request,"I received damaged product, what can I do?",serum,low
T000181,2025-12-30T02:12:00,webform,CU00839,en,Complaint,Promo code not working.,perfume,high
T000182,2025-12-14T06:08:00,email,CU01079,en,Question,"I received damaged product, what can I do?",foundation,low
T000183,2025-12-21T01:06:00,email,CU00815,en,Order problem,How to use this product and is it safe for sensitive skin?,serum,low
T000184,2025-11-09T20:42:00,call_center,CU00994,en,Question,I want to refund my last order.,lipstick,normal
T000185,2025-12-14T17:41:00,webform,CU00018,ar,Need help,How to use this product and is it safe for sensitive skin?,gift_box,high
T000186,2025-11-24T01:47:00,webform,CU00765,en,Complaint,I want to refund my last order.,lipstick,high
T000187,2025-11-28T02:30:00,webform,CU00366,en,Request,Promo code not working.,perfume,low
T000188,2025-12-20T07:47:00,email,CU00360,en,Request,I want to refund my last order.,shampoo,high
T000189,2025-11-17T13:41:00,email,CU00211,en,Order problem,Order delayed and I need update.,perfume,normal
T000190,2025-11-03T17:56:00,email,CU00404,ar,Complaint,"I received damaged product, what can I do?",lipstick,high
T000191,2025-11-19T14:55:00,whatsapp,CU01184,ar,Complaint,"I received damaged product, what can I do?",gift_box,high
T000192,2025-12-17T01:00:00,whatsapp,CU01099,en,Question,Order delayed and I need update.,lipstick,high
T000193,2025-12-23T09:54:00,webform,CU00723,ar,Need help,How to use this product and is it safe for sensitive skin?,perfume,normal
T000194,2025-11-17T10:43:00,call_center,CU01057,en,Question,Order delayed and I need update.,serum,low
T000195,2025-11-06T15:45:00,call_center,CU00781,en,Complaint,Promo code not working.,lipstick,normal
T000196,2025-11-26T06:27:00,call_center,CU00224,ar,Need help,Promo code not working.,serum,normal
T000197,2025-12-21T23:08:00,whatsapp,CU00005,en,Need help,"I received damaged product, what can I do?",perfume,normal
T000198,2025-12-07T21:00:00,email,CU01170,ar,Complaint,Promo code not working.,lipstick,high
T000199,2025-11-20T03:03:00,webform,CU01009,ar,Need help,"I received damaged product, what can I do?",foundation,low
T000200,2025-12-10T13:13:00,email,CU00551,en,Order problem,Order delayed and I need update.,perfume,low
T000201,2025-12-28T04:37:00,email,CU01145,ar,Request,Order delayed and I need update.,shampoo,high
T000202,2025-11-04T21:06:00,webform,CU00301,ar,Request,Order delayed and I need update.,perfume,normal
T000203,2025-11-28T18:11:00,email,CU00833,en,Request,"I received damaged product, what can I do?",gift_box,high
T000204,2025-11-24T02:58:00,whatsapp,CU00916,ar,Need help,Order delayed and I need update.,shampoo,high
T000205,2025-12-13T09:58:00,email,CU01198,en,Question,Order delayed and I need update.,serum,high
T000206,2025-12-13T04:30:00,email,CU00870,ar,Need help,How to use this product and is it safe for sensitive skin?,shampoo,low
T000207,2025-12-10T05:08:00,call_center,CU00861,ar,Request,Order delayed and I need update.,lipstick,high
T000208,2025-11-21T03:29:00,call_center,CU00173,ar,Question,Promo code not working.,shampoo,normal
T000209,2025-11-05T04:37:00,call_center,CU00902,en,Complaint,"I received damaged product, what can I do?",lipstick,high
T000210,2025-11-26T11:35:00,webform,CU00781,ar,Need help,How to use this product and is it safe for sensitive skin?,foundation,low
T000211,2025-12-18T16:42:00,call_center,CU00535,ar,Need help,I want to refund my last order.,foundation,normal
T000212,2025-12-17T03:22:00,email,CU00442,en,Complaint,"I received damaged product, what can I do?",shampoo,high
T000213,2025-12-01T04:59:00,whatsapp,CU00772,en,Complaint,Promo code not working.,foundation,normal
T000214,2025-12-10T17:00:00,call_center,CU01086,ar,Request,"I received damaged product, what can I do?",lipstick,high
T000215,2025-11-02T18:03:00,webform,CU00143,ar,Request,Promo code not working.,gift_box,normal
T000216,2025-12-11T11:01:00,whatsapp,CU00011,en,Request,Promo code not working.,shampoo,normal
T000217,2025-12-20T18:26:00,call_center,CU00278,ar,Complaint,I want to refund my last order.,serum,low
T000218,2025-12-11T09:04:00,whatsapp,CU00670,ar,Complaint,"I received damaged product, what can I do?",shampoo,normal
T000219,2025-11-21T12:06:00,webform,CU00658,ar,Complaint,I want to refund my last order.,lipstick,high
T000220,2025-12-23T07:20:00,call_center,CU00709,en,Order problem,I want to refund my last order.,serum,low
T000221,2025-12-21T22:29:00,call_center,CU01185,ar,Question,"I received damaged product, what can I do?",gift_box,low
T000222,2025-12-03T18:12:00,email,CU00442,ar,Request,Order delayed and I need update.,shampoo,low
T000223,2025-11-07T23:44:00,email,CU00370,ar,Order problem,Order delayed and I need update.,serum,normal
T000224,2025-11-12T18:44:00,call_center,CU00310,ar,Need help,I want to refund my last order.,foundation,normal
T000225,2025-11-21T07:17:00,webform,CU00633,en,Order problem,How to use this product and is it safe for sensitive skin?,lipstick,low
T000226,2025-11-04T14:52:00,email,CU00405,ar,Question,I want to refund my last order.,gift_box,high
T000227,2025-12-28T20:18:00,whatsapp,CU00471,en,Request,I want to refund my last order.,gift_box,high
T000228,2025-12-13T16:10:00,email,CU00144,en,Question,I want to refund my last order.,foundation,low
T000229,2025-12-09T06:41:00,webform,CU00987,ar,Complaint,Order delayed and I need update.,gift_box,normal
T000230,2025-12-25T11:10:00,webform,CU00781,ar,Complaint,Order delayed and I need update.,shampoo,low
T000231,2025-11-12T07:45:00,call_center,CU00857,ar,Order problem,Order delayed and I need update.,shampoo,high
T000232,2025-11-23T01:04:00,call_center,CU01121,en,Complaint,I want to refund my last order.,serum,high
T000233,2025-11-18T07:25:00,email,CU00977,ar,Order problem,How to use this product and is it safe for sensitive skin?,shampoo,normal
T000234,2025-11-09T03:37:00,whatsapp,CU00755,en,Order problem,Order delayed and I need update.,shampoo,low
T000235,2025-12-13T01:19:00,webform,CU00752,en,Complaint,"I received damaged product, what can I do?",perfume,normal
T000236,2025-12-22T21:53:00,whatsapp,CU00722,ar,Question,"I received damaged product, what can I do?",shampoo,low
T000237,2025-12-18T03:11:00,email,CU00080,en,Order problem,"I received damaged product, what can I do?",shampoo,normal
T000238,2025-12-17T04:13:00,email,CU00027,en,Order problem,Promo code not working.,shampoo,low
T000239,2025-11-24T18:22:00,whatsapp,CU00536,en,Order problem,I want to refund my last order.,perfume,low
T000240,2025-12-28T18:04:00,webform,CU00664,en,Order problem,"I received damaged product, what can I do?",shampoo,low
T000241,2025-12-09T19:43:00,email,CU00321,en,Order problem,I want to refund my last order.,shampoo,low
T000242,2025-12-24T19:08:00,webform,CU01184,ar,Order problem,"I received damaged product, what can I do?",shampoo,high
T000243,2025-12-27T13:41:00,whatsapp,CU00979,en,Need help,How to use this product and is it safe for sensitive skin?,serum,normal
T000244,2025-11-24T18:25:00,webform,CU00585,ar,Complaint,I want to refund my last order.,shampoo,low
T000245,2025-12-30T12:52:00,whatsapp,CU00918,en,Order problem,"I received damaged product, what can I do?",gift_box,normal
T000246,2025-11-26T14:00:00,whatsapp,CU00824,en,Question,Order delayed and I need update.,foundation,normal
T000247,2025-12-11T08:35:00,call_center,CU00536,en,Question,I want to refund my last order.,perfume,high
T000248,2025-11-02T05:03:00,webform,CU01054,ar,Order problem,Promo code not working.,gift_box,high
T000249,2025-11-13T13:06:00,webform,CU01164,ar,Request,Order delayed and I need update.,lipstick,normal
T000250,2025-12-25T10:52:00,email,CU00652,en,Order problem,Order delayed and I need update.,lipstick,normal
T000251,2025-11-15T12:31:00,call_center,CU01045,ar,Question,Promo code not working.,serum,high
T000252,2025-12-11T15:54:00,call_center,CU00779,ar,Complaint,Order delayed and I need update.,foundation,low
T000253,2025-11-04T16:27:00,call_center,CU00085,en,Order problem,Order delayed and I need update.,gift_box,high
T000254,2025-11-20T05:40:00,webform,CU00025,en,Request,"I received damaged product, what can I do?",perfume,low
T000255,2025-12-09T22:14:00,email,CU01099,en,Need help,"I received damaged product, what can I do?",serum,high
T000256,2025-12-24T03:15:00,whatsapp,CU01001,en,Question,I want to refund my last order.,perfume,normal
T000257,2025-12-13T02:28:00,webform,CU00017,en,Question,I want to refund my last order.,foundation,low
T000258,2025-12-11T15:15:00,call_center,CU00993,ar,Order problem,I want to refund my last order.,lipstick,normal
T000259,2025-11-07T08:04:00,webform,CU00980,en,Need help,"I received damaged product, what can I do?",gift_box,normal
T000260,2025-12-14T06:11:00,webform,CU00858,ar,Order problem,I want to refund my last order.,foundation,normal
T000261,2025-11-08T08:29:00,email,CU00440,ar,Request,Order delayed and I need update.,serum,low
T000262,2025-12-27T14:07:00,whatsapp,CU00760,ar,Request,"I received damaged product, what can I do?",serum,low
T000263,2025-11-07T20:19:00,webform,CU00448,ar,Request,I want to refund my last order.,shampoo,high
T000264,2025-11-27T14:13:00,email,CU00437,en,Complaint,Order delayed and I need update.,perfume,high
T000265,2025-12-27T22:42:00,call_center,CU00015,en,Request,I want to refund my last order.,shampoo,high
T000266,2025-11-22T05:37:00,webform,CU00994,en,Need help,How to use this product and is it safe for sensitive skin?,serum,high
T000267,2025-12-20T04:40:00,email,CU00809,ar,Need help,I want to refund my last order.,lipstick,low
T000268,2025-12-12T19:31:00,email,CU00184,en,Complaint,How to use this product and is it safe for sensitive skin?,serum,high
T000269,2025-11-08T10:16:00,whatsapp,CU00032,ar,Request,I want to refund my last order.,serum,normal
T000270,2025-12-03T21:54:00,email,CU00050,en,Order problem,Promo code not working.,gift_box,low
T000271,2025-12-28T10:37:00,webform,CU00021,en,Request,I want to refund my last order.,foundation,low
T000272,2025-11-04T04:48:00,email,CU00466,ar,Question,"I received damaged product, what can I do?",gift_box,normal
T000273,2025-11-09T08:16:00,webform,CU01160,ar,Request,"I received damaged product, what can I do?",gift_box,low
